Judul Pekerjaan,Perusahaan,Lokasi,Gaji_Rata2
Senior Customer Service,PT Higienis Indonesia,Jakarta Raya,"Rp10,500,000"
Senior Customer Service,PT Higienis Indonesia,Jakarta Raya,"Rp9,221,095"
Management Trainee Store Kalimantan,PT Richeese Kuliner Indonesia,Banjarmasin Selatan,"Rp5,409,910"
Business Development Executive,PT Arupa Cloud Nusantara,Jakarta Selatan,"Rp10,500,000"
Content Creator,PT. Cahaya Ayu Abadi,Kecamatan Tangerang,"Rp6,000,000"
CUSTOMER SERVICE EXPORT,PT Evergreen Shipping Agency Indonesia,Jakarta Selatan,"Rp5,699,571"
Administrasi Media & Production,PT Djojonegoro C-1000,Jakarta Selatan,"Rp6,007,823"
Administrasi,PT Perdana Bangun Pusaka Tbk,Jakarta Pusat,"Rp5,150,000"
ADMINISTRATION STAFF,PT Yamaha Indonesia Motor Mfg,Jakarta Timur,"Rp5,753,293"
Video Editor,Craft Creative,Jakarta Raya,"Rp3,000,000"
Logistic Admin - Jakarta,PT. Gree Electric Appliances Indonesia,Jakarta Utara,"Rp4,244,717"
ADMIN STAFF,PT.Sinamyang indonesia,Jakarta Raya,"Rp6,000,000"
STAF PURCHASING,PT Furindo Sakti Sejahtera,Cengkareng,"Rp5,500,000"
Accounting Staff,PT Sinarindo Wiranusa Elektrik,Jakarta Raya,"Rp7,000,000"
Project Officer,PT Mata Utama Indonesia,Jakarta Selatan,"Rp8,350,000"
Service Penjualan Counter,PT. Mustika Citra Rasa,Bekasi,"Rp5,550,000"
Cashier,CV. TOGA MANDIRI ANUGRAH PERKASA,Medan,"Rp2,453,743"
Management Trainee - Operation,PT Cilia Prisma Utama Makmur,Boyolali,"Rp4,831,444"
Quality Control Staff (Microbiological),PT Selatox Bio Pharma,Cikarang,"Rp4,670,838"
Administration Staff,"PT Indomobil Sukses Internasional, Tbk",Jakarta Timur,"Rp5,753,293"
"Admin Import, Purchasing & Stock",PT AGRI TUMBUH MAKMUR,Jakarta Utara,"Rp4,403,176"
Customer Service Domestic - Freight Forwarding,PT SHOKA CHANDRA ARMADA,Jakarta Pusat,"Rp6,238,033"
HRD,PT Handal Guna Sarana,Jakarta Selatan,"Rp6,208,842"
Welder / Operator Welding,PT Dinamis Mandiri Indonesia,Tangerang,"Rp5,500,000"
General Affairs Staff,PT. Samyang Foods Indonesia,Jakarta Selatan,"Rp8,500,000"
Content Creator,PT Bintang Mahameru Utama,Jakarta Utara,"Rp9,500,000"
kasir minimarket,PT Usaha Mitra Sejahtera,Tangerang Selatan,"Rp4,600,000"
Admin Collection / Fakturis,PT.Dewa Tunggal Abadi,Jakarta Timur,"Rp4,300,000"
Channel Relation Executive (CRE) atau Sales,"PT Tera Data Indonusa, Tbk",Malang,"Rp4,421,008"
STAFF PACKAGING DEVELOPMENT TRIAL,PT Eka Jaya Internasional,Cikupa,"Rp6,362,539"
Admin Produksi,PT Capital Makmur Sejahtera,Tangerang,"Rp5,250,000"
ADMIN STAFF (Penempatan Medan),PT. Sardana IndahBerlian Motor,Medan,"Rp4,229,672"
Management Trainee (Logistic),PT Handal Guna Sarana,Bogor,"Rp5,768,949"
Customer Care Officer / Manager,Soundlife Hearing Center,Jakarta Selatan,"Rp5,300,000"
Customer Care Officer / Manager,Soundlife Hearing Center,Jakarta Selatan,"Rp8,521,210"
Store Crew Gading Serpong,PT Puyo Indonesia Kreasi,Tangerang,"Rp5,141,319"
Staf Administrasi,YAYASAN ASTRA BINA ILMU (POLITEKNIK ASTRA),Cikarang Selatan,"Rp5,834,679"
OFFICER DEVELOPMENT PROGRAM (ODP),"PT Bank JTrust Indonesia, Tbk",Jakarta Raya,"Rp7,082,371"
ADMIN STAFF,PT Wellz-In Indonesia,Jakarta Selatan,"Rp5,300,000"
Video Editor,PT Lativi Mediakarya (tvOne),Jakarta Timur,"Rp5,157,620"
HUMAN CAPITAL STAFF,PT Tangguh Niaga Karya,Jakarta Raya,"Rp5,887,963"
Pengemudi Operasional,Dana Pensiun Bank Indonesia,Jakarta Selatan,"Rp5,198,396"
Management Trainee Sales Supervisor & Operational Supervisor (Jawa Timur),Orang Tua Group,Jawa Timur,"Rp6,692,414"
Administrative Staff,PT United Farmatic Indonesia,Sidoarjo,"Rp4,647,500"
General Admin (Retail Specialist),PT. Multi Buah Sukses ( Total Buah Segar ),Tangerang,"Rp4,750,000"
Desk Account Solution BCA Finance - Penempatan Jakarta Selatan,PT BCA Finance,Jakarta Selatan,"Rp5,599,931"
STORE CREW (Karyawan Toko),PT Aicha Food Indonesia,Jakarta Raya,"Rp5,765,916"
Sales Promoter (DKI Jakarta),PT. Panasonic Gobel Indonesia,Jakarta Selatan,"Rp6,400,000"
HELPER LOGISTIC & WAREHOUSE,PT Arisu Graphic Prima,Karawang,"Rp5,550,000"
Frontliner (Jabodetabek),"PT Bank Danamon Indonesia, Tbk",Jakarta Raya,"Rp5,795,940"
PURCHASING STAFF,PT Tangguh Niaga Karya,Jakarta Pusat,"Rp4,659,155"
Administrator Umum,"PT. Zyrexindo Mandiri Buana, Tbk",Jakarta Barat,"Rp4,998,519"
Teknisi Setter Mesin Injection Molding,PT PARAGON PLASTIK INDONESIA,Cikarang Selatan,"Rp4,386,273"
Administration Support,PT Binajasa Sumber Sarana (BSS Recruitment),Jakarta Selatan,"Rp5,936,437"
Operator Forklift Warehouse,PT Lotte Indonesia,Cikarang,"Rp5,389,258"
Management Trainee,PT Supra Boga Lestari Tbk,Jakarta Raya,"Rp6,300,057"
Retail Specialist (Future Store Leader),PT Decathlon Retail Indonesia,Tangerang,"Rp7,500,000"
Procurement Officer,Adaro Minerals,Jakarta Selatan,"Rp6,225,572"
Warehouse & Inventory Associate,PT. Prakasa Makmur Kencana,Tangerang,"Rp6,250,000"
QC Manufacturing Officer,Daikin Industries Indonesia,Cikarang Pusat,"Rp6,204,053"
OPR PRODUKSI,PT Mahkota Agro Industri,Curug Bitung,"Rp5,593,465"
Leader Toko,PT Gopai Levizz Indonesia,Penjaringan,"Rp10,000,000"
Customer Service - Service Center,Time International,Jakarta Raya,"Rp4,776,420"
HSE Officer,Toppan Plasindo Lestari,Cikarang,"Rp7,000,000"
Content Marketing Strategist & Social Media Specialist,PT Ahha Korpora Indonesia,Jakarta Selatan,"Rp6,788,524"
Staff Sistem Produksi,Trackerindo Anugerah Sejahtera CV,Bandung,"Rp4,350,000"
Crew Mama Roz (Cold Press Juice),PT ADELPHI TRANSASIA INDONESIA,Jakarta Raya,"Rp3,500,000"
Crew Mama Roz (Cold Press Juice),PT ADELPHI TRANSASIA INDONESIA,Jakarta Raya,"Rp3,500,000"
Administrasi Operasional Staff,PT Mulia Jasa Indokor,Jakarta Selatan,"Rp5,396,761"
WAREHOUSE INBOUND & OUTBOUND (CHECKER),PT Satu Nusantara Abadi,Jakarta Raya,"Rp5,868,731"
ADMIN-HELPER GUDANG,PT Syaharani,Bandung,"Rp3,400,000"
Customer Care,PT Sepulsa Teknologi Indonesia (Jakarta),Jakarta Selatan,"Rp5,760,630"
Operator CNC Machining,PT KOEI TOOL INDONESIA,Cikarang,"Rp6,250,000"
Purchasing Buyer Officer,"PT SMART,Tbk",Jakarta Selatan,"Rp5,799,369"
Staf Procurement & Purchasing,YAYASAN ASTRA BINA ILMU (POLITEKNIK ASTRA),Cikarang Selatan,"Rp5,177,330"
ADMINISTRASI GUDANG - TANGERANG,PT Ekadharma International Tbk,Pasar Kemis,"Rp4,561,710"
Customer Service Representative,PT NATURAL HERBAL ESSENCE,Jakarta Barat,"Rp5,343,376"
Area Sales Manager (Sub. Distribution Timur),PT Pangan Lestari,Sidoarjo,"Rp14,029,577"
Administration Staff,PT Sejahtera Unggul Nusantara,Jakarta Barat,"Rp5,947,667"
ADMIN PARIWISATA,PT Surya Cipta Sempurna,Jakarta Barat,"Rp5,750,000"
Picker (Warehouse Karawang),PT Miniso Lifestyle Trading Indonesia (Miniso Indonesia),Karawang Timur,"Rp5,866,251"
CIMB Niaga Teller CIPTA - Jawa Timur,PT CIMB Niaga Tbk,Jawa Timur,"Rp4,273,446"
Staff Operator Produksi,PT. SINO ZONE INDUSTRY INDONESIA,Jakarta Utara,"Rp5,198,381"
Fresh Graduate Management Training Program,Deliveree (PT Angkut Teknologi Indonesia),Jakarta Selatan,"Rp5,000,000"
STAFF PACKING PACKER,PT Anugerah Cahaya Chandra,Bogor,"Rp3,750,000"
MANAGEMENT DEVELOPMENT PROGRAM,"PT Delta Giri Wacana, Tbk.",Jakarta Raya,"Rp7,216,515"
Mayora Management Trainee (MDP) OPERATION,PT Mayora Indah Tbk,Surabaya,"Rp5,531,367"
Team Leader - Store,PT Social Bella Indonesia,Jakarta Utara,"Rp5,405,721"
Logistik,PT Kideta Boga Multirasa,Jakarta Utara,"Rp5,600,000"
Customer Care Staff (Eka Hospital Group),EKA HOSPITAL,Tangerang Selatan,"Rp5,592,099"
Admin After Sales Service,PT. Gree Electric Appliances Indonesia,Jakarta Utara,"Rp4,516,621"
STAFF ADMIN SURABAYA,PT Dana Kharisma,Waru,"Rp4,761,319"
Store Crew,Asia Best Indonesia,Medan,"Rp3,992,737"
